"Date","Open","High","Low","Close","Volume","Adj Close"
"20040910 00:00:00","112.52","113.27","112.08","113.06","27900600","107"
"20040913 00:00:00","113.31","113.74","113.01","113.43","44398100","107.35"
"20040914 00:00:00","113.3","113.69","113.19","113.66","28048900","107.57"
"20040915 00:00:00","113.3","113.36","112.68","112.8","38295000","106.76"
"20040916 00:00:00","112.85","113.37","112.8","113.14","23911700","107.08"
"20040917 00:00:00","112.95","113.36","112.69","113.15","33683000","107.53"
"20040920 00:00:00","112.67","112.99","112.28","112.47","37149400","106.89"
"20040921 00:00:00","112.75","113.47","112.54","112.96","40920800","107.35"
"20040922 00:00:00","112.5","112.52","111.47","111.55","49042100","106.01"
"20040923 00:00:00","111.6","111.7","110.95","110.95","44068700","105.44"
"20040924 00:00:00","111.17","111.73","111.13","111.46","34981100","105.93"
"20040927 00:00:00","111.1","111.2","110.58","110.75","39355100","105.25"
"20040928 00:00:00","110.91","111.51","110.41","111.28","41662900","105.76"
"20040929 00:00:00","111.21","111.85","111","111.84","33325700","106.29"
"20040930 00:00:00","111.55","111.98","111.26","111.76","43536700","106.21"
"20041001 00:00:00","112.26","113.65","112.21","113.65","62824300","108.01"
"20041004 00:00:00","114.1","114.44","113.8","113.84","33082400","108.19"
"20041005 00:00:00","113.85","114.16","113.54","113.9","36910600","108.25"
"20041006 00:00:00","113.77","114.68","113.68","114.68","42297800","108.99"
"20041007 00:00:00","114.38","114.4","113.36","113.45","39388800","107.82"
"20041008 00:00:00","113.15","113.77","112.35","112.51","51872600","106.93"
"20041011 00:00:00","112.78","113.02","112.64","112.97","20229100","107.36"
"20041012 00:00:00","112.2","112.83","111.94","112.53","41754700","106.94"
"20041013 00:00:00","113","113.07","111.32","111.54","54212600","106"
"20041014 00:00:00","111.68","111.93","110.58","110.64","64082200","105.15"
"20041015 00:00:00","111.02","111.74","110.57","111.26","63482200","105.74"
"20041018 00:00:00","110.89","111.9","110.7","111.68","43535100","106.14"
"20041019 00:00:00","112.02","112.23","110.59","110.74","55851900","105.24"
"20041020 00:00:00","110.38","110.82","109.75","110.52","57118500","105.03"
"20041021 00:00:00","110.79","111.32","110.21","111.24","53218300","105.72"
"20041022 00:00:00","111.19","111.25","109.86","109.99","48752400","104.53"
"20041025 00:00:00","109.75","110.12","109.35","109.86","43990900","104.41"
"20041026 00:00:00","110.13","111.6","109.88","111.54","54337400","106"
"20041027 00:00:00","111.38","113.1","111.12","112.88","73896000","107.28"
"20041028 00:00:00","112.78","113.56","112.49","113.22","54413300","107.6"
"20041029 00:00:00","113.12","113.64","112.9","113.2","48820200","107.58"
"20041101 00:00:00","113.56","113.84","113.2","113.51","36720900","107.88"
"20041102 00:00:00","113.67","114.57","113.22","113.55","56210000","107.91"
"20041103 00:00:00","115.03","115.36","114.24","114.98","76960200","109.27"
"20041104 00:00:00","114.78","116.67","114.68","116.55","55350300","110.76"
"20041105 00:00:00","117.05","117.64","116.49","117.28","63287200","111.46"
"20041108 00:00:00","116.98","117.23","116.72","117.11","33863800","111.3"
"20041109 00:00:00","117.08","117.5","116.76","116.88","44658100","111.08"
"20041110 00:00:00","117.06","117.55","116.76","116.97","45265400","111.16"
"20041111 00:00:00","117.18","118.12","117.1","117.86","37863200","112.01"
"20041112 00:00:00","117.97","119","117.68","118.79","55583700","112.89"
"20041115 00:00:00","118.5","118.77","118.23","118.73","35297900","113.17"
"20041116 00:00:00","118.36","118.41","117.73","117.88","40028700","112.36"
"20041117 00:00:00","118.37","119.14","118.07","118.58","54494000","113.03"
"20041118 00:00:00","118.53","118.8","118.23","118.74","31854300","113.18"
"20041119 00:00:00","118.7","118.72","117.14","117.42","54276500","111.92"
"20041122 00:00:00","117.17","118.12","117.03","117.98","37560200","112.46"
"20041123 00:00:00","117.93","118.26","117.37","118.16","41968800","112.63"
"20041124 00:00:00","118.27","118.59","118.05","118.44","29724800","112.89"
"20041126 00:00:00","118.51","118.98","118.3","118.35","15487700","112.81"
"20041129 00:00:00","118.79","119.01","117.48","117.81","61460800","112.29"
"20041130 00:00:00","118","118.24","117.64","117.89","53685200","112.37"
"20041201 00:00:00","118.16","119.5","118.1","119.23","49898300","113.65"
"20041202 00:00:00","119.1","119.87","119.01","119.33","60163500","113.74"
"20041203 00:00:00","119.31","120.14","119.09","119.25","49067900","113.67"
"20041206 00:00:00","119.21","119.64","118.84","119.21","33030500","113.63"
"20041207 00:00:00","119.49","119.62","118.04","118.1","52047200","112.57"
"20041208 00:00:00","118.21","118.82","118.01","118.79","43895100","113.23"
"20041209 00:00:00","118.14","119.46","117.73","119.21","60922800","113.63"
"20041210 00:00:00","118.92","119.56","118.85","119.33","47828600","113.74"
"20041213 00:00:00","119.76","120.4","119.35","120.37","38541000","114.73"
"20041214 00:00:00","120.18","120.96","120.18","120.79","41500700","115.13"
"20041215 00:00:00","120.7","121.11","120.31","120.88","46699200","115.22"
"20041216 00:00:00","120.72","121.24","120.04","120.81","51641800","115.15"
"20041217 00:00:00","119.46","119.97","119.16","119.44","70761900","114.39"
"20041220 00:00:00","119.75","120.29","119.17","119.47","47187400","114.41"
"20041221 00:00:00","119.6","120.48","119.46","120.39","33094200","115.3"
"20041222 00:00:00","120.38","121.08","120.3","120.68","31500700","115.57"
"20041223 00:00:00","120.87","121.28","120.66","120.77","25646100","115.66"
"20041227 00:00:00","121.2","121.36","120.39","120.52","29944100","115.42"
"20041228 00:00:00","120.64","121.33","120.6","121.18","23422900","116.05"
"20041229 00:00:00","121.08","121.4","120.95","121.36","22650600","116.22"
"20041230 00:00:00","121.4","121.57","121.04","121.13","21076900","116"
"20041231 00:00:00","121.3","121.66","120.8","120.87","28648800","115.75"
"20050103 00:00:00","121.56","121.76","119.9","120.3","55748000","115.21"
"20050104 00:00:00","120.46","120.54","118.44","118.83","69167600","113.8"
"20050105 00:00:00","118.74","119.25","118","118.01","65667300","113.02"
"20050106 00:00:00","118.44","119.15","118.26","118.61","47814700","113.59"
"20050107 00:00:00","118.97","119.23","118.13","118.44","55847700","113.43"
"20050110 00:00:00","118.34","119.46","118.34","119","56563300","113.96"
"20050111 00:00:00","118.64","118.74","117.99","118.18","63099700","113.18"
"20050112 00:00:00","118.4","118.84","117.52","118.57","72720500","113.55"
"20050113 00:00:00","118.64","118.73","117.5","117.62","55537500","112.64"
"20050114 00:00:00","117.97","118.53","117.76","118.24","42032500","113.24"
"20050118 00:00:00","118.05","119.62","117.95","119.47","57391700","114.41"
"20050119 00:00:00","119.43","119.52","118.21","118.22","54378900","113.22"
"20050120 00:00:00","117.89","118.2","117.29","117.5","72049300","112.53"
"20050121 00:00:00","117.79","118","116.65","116.78","63160400","111.84"
"20050124 00:00:00","117.09","117.34","116.37","116.55","58441900","111.62"
"20050125 00:00:00","116.91","117.47","116.72","116.88","68245000","111.93"
"20050126 00:00:00","117.32","117.6","117.04","117.23","57195100","112.27"
"20050127 00:00:00","117.19","117.75","116.98","117.43","55878800","112.46"
