"Date","Open","High","Low","Close","Volume","Adj Close"
"20020412 00:00:00","100.3","100.3","98.12","98.12","3000","45.68"
"20020415 00:00:00","99.8","100.25","99.8","99.9","1600","46.51"
"20020416 00:00:00","100.47","100.65","100.47","100.65","800","46.86"
"20020417 00:00:00","102.6","102.6","102.56","102.56","1000","47.75"
"20020418 00:00:00","103.45","103.6","103.2","103.2","15200","48.04"
"20020419 00:00:00","103.2","103.2","103.2","103.2","0","48.04"
"20020422 00:00:00","102.5","102.5","102.2","102.2","1200","47.58"
"20020423 00:00:00","102.2","102.42","102.2","102.42","1600","47.68"
"20020424 00:00:00","101.75","101.75","100.79","100.79","400","46.92"
"20020425 00:00:00","101.4","101.4","101.4","101.4","400","47.21"
"20020426 00:00:00","101.3","101.3","100.08","100.3","21200","46.69"
"20020429 00:00:00","99.86","99.86","99.86","99.86","400","46.49"
"20020430 00:00:00","100.59","100.59","100.59","100.59","200","46.83"
"20020501 00:00:00","100.6","101.49","100.6","101.49","400","47.25"
"20020502 00:00:00","101.69","101.7","101.69","101.7","1200","47.35"
"20020503 00:00:00","102.6","103.19","102.6","102.87","1000","47.89"
"20020506 00:00:00","101.51","101.51","100.15","100.15","14600","46.63"
"20020507 00:00:00","100.16","100.32","99.95","100.32","600","46.7"
"20020508 00:00:00","101.31","101.31","101.31","101.31","200","47.17"
"20020509 00:00:00","101.2","101.2","101.2","101.2","400","47.11"
"20020510 00:00:00","101.3","101.36","100.71","101.36","1400","47.19"
"20020513 00:00:00","101.19","102","101.19","101.64","21200","47.32"
"20020514 00:00:00","103.04","103.04","102.89","102.89","600","47.9"
"20020515 00:00:00","101.47","101.79","101.46","101.79","1600","47.39"
"20020516 00:00:00","102.28","102.28","102.28","102.28","200","47.62"
"20020517 00:00:00","101.09","101.37","101.09","101.29","8600","47.16"
"20020520 00:00:00","101.29","101.29","101.29","101.29","0","47.16"
"20020521 00:00:00","101.78","101.78","101.74","101.74","400","47.37"
"20020522 00:00:00","101.85","102.32","101.85","102.32","4000","47.64"
"20020523 00:00:00","102.28","102.28","102.28","102.28","200","47.62"
"20020524 00:00:00","102.45","102.45","102.22","102.27","800","47.61"
"20020528 00:00:00","101.6","101.69","101.5","101.65","3600","47.32"
"20020529 00:00:00","101","101","100.7","100.7","600","46.88"
"20020530 00:00:00","100.27","100.27","98.52","99.29","6600","46.22"
"20020531 00:00:00","100.5","100.58","100.29","100.29","1800","46.69"
"20020603 00:00:00","100.15","100.15","98.16","98.16","800","45.7"
"20020604 00:00:00","97.17","97.31","97.17","97.31","600","45.3"
"20020605 00:00:00","97.31","97.31","97.31","97.31","0","45.3"
"20020606 00:00:00","96.34","96.34","96.34","96.34","200","44.85"
"20020607 00:00:00","96","96","96","96","800","44.69"
"20020610 00:00:00","95.11","95.11","95.11","95.11","200","44.28"
"20020611 00:00:00","95.3","95.45","93.84","93.84","600","43.69"
"20020612 00:00:00","94","94.68","94","94.68","800","44.08"
"20020613 00:00:00","94.27","94.27","94.27","94.27","600","43.89"
"20020614 00:00:00","93.67","93.67","93.67","93.67","200","43.61"
"20020617 00:00:00","95.73","96.21","95.73","96.12","1000","44.95"
"20020618 00:00:00","96.24","96.49","96.24","96.49","2200","45.13"
"20020619 00:00:00","96.49","96.49","96.49","96.49","0","45.13"
"20020620 00:00:00","96.13","96.13","96.13","96.13","600","44.96"
"20020621 00:00:00","95.55","95.55","94.63","94.63","600","44.26"
"20020624 00:00:00","95.29","95.29","95.29","95.29","400","44.57"
"20020625 00:00:00","96.56","96.56","96.56","96.56","200","45.16"
"20020626 00:00:00","94.6","94.6","94.56","94.56","600","44.23"
"20020627 00:00:00","95.1","95.15","95.1","95.15","800","44.5"
"20020628 00:00:00","95.15","95.15","95.15","95.15","0","44.5"
"20020701 00:00:00","95.15","95.15","95.15","95.15","0","44.5"
"20020702 00:00:00","94.44","94.44","93.25","93.26","1000","43.62"
"20020703 00:00:00","92.51","92.51","91.95","92.25","2800","43.14"
"20020705 00:00:00","93.4","93.8","93.4","93.8","1000","43.87"
"20020708 00:00:00","95.29","95.29","94.67","94.67","400","44.28"
"20020709 00:00:00","93.7","93.7","93.7","93.7","200","43.82"
"20020710 00:00:00","92.58","92.58","92.58","92.58","200","43.3"
"20020711 00:00:00","88.88","88.88","88.88","88.88","400","41.57"
"20020712 00:00:00","88.88","88.88","88.88","88.88","0","41.57"
"20020715 00:00:00","88.88","88.88","88.88","88.88","0","41.57"
"20020716 00:00:00","84.46","85.05","84.46","85.05","600","39.78"
"20020717 00:00:00","86.3","86.3","85.05","85.05","600","39.78"
"20020718 00:00:00","85.68","85.68","85.35","85.35","600","39.92"
"20020719 00:00:00","83.85","83.85","80.6","80.6","1000","37.7"
"20020722 00:00:00","75.85","77.1","75.82","77.1","600","36.06"
"20020723 00:00:00","75.6","75.6","73.6","73.6","3000","34.42"
"20020724 00:00:00","72.2","77.2","72.1","77.2","1200","36.11"
"20020725 00:00:00","77.8","78.35","77.69","77.69","1400","36.34"
"20020726 00:00:00","77.05","77.15","76.95","77.05","1200","36.04"
"20020729 00:00:00","82.15","82.15","82.15","82.15","200","38.42"
"20020730 00:00:00","82.15","82.62","81.98","81.98","800","38.34"
"20020731 00:00:00","81.65","82.7","81.65","82.7","1200","38.68"
"20020801 00:00:00","80.8","80.8","80.8","80.8","200","37.79"
"20020802 00:00:00","80.8","80.8","80.8","80.8","0","37.79"
"20020805 00:00:00","77.25","77.25","77.25","77.25","4400","36.13"
"20020806 00:00:00","79.2","79.2","79.1","79.1","800","36.99"
"20020807 00:00:00","78.2","78.2","78.2","78.2","200","36.57"
"20020808 00:00:00","78.2","78.2","78.2","78.2","0","36.57"
"20020809 00:00:00","82","83.4","82","83.4","7400","39.01"
"20020812 00:00:00","82.65","83.73","82.65","83.73","3000","39.16"
"20020813 00:00:00","83.15","83.47","82.56","82.56","2800","38.61"
"20020814 00:00:00","82.76","83.93","81.84","83.93","9400","39.25"
"20020815 00:00:00","85.2","86.21","84.97","86.15","20000","40.29"
"20020816 00:00:00","85.3","85.45","84.65","84.65","3000","39.59"
"20020819 00:00:00","85.35","85.35","85.35","85.35","2200","39.92"
"20020820 00:00:00","84.5","84.5","84.25","84.26","8600","39.41"
"20020821 00:00:00","84.16","85.42","84.16","85.42","30200","39.95"
"20020822 00:00:00","86.5","86.5","86.5","86.5","600","40.46"
"20020823 00:00:00","86.3","86.3","85.56","85.73","30800","40.1"
"20020826 00:00:00","85.85","87.15","85.85","87.08","256200","40.73"
"20020827 00:00:00","87.6","87.6","86.5","86.52","16200","40.46"
"20020828 00:00:00","85.67","85.67","85.35","85.35","4000","39.92"
"20020829 00:00:00","83.85","83.94","83.85","83.9","16400","39.24"
